EK,2183,ABJ,253,ACC,248,,0,77W
EK,2183,ACC,248,ABJ,253,,0,77W
EK,2183,ACC,248,DXB,2188,,0,77W
EK,2183,ADD,1107,DXB,2188,,0,332
EK,2183,ADL,3341,DXB,2188,,0,77W
EK,2183,AKL,2006,BNE,3320,,0,388
EK,2183,AKL,2006,MEL,3339,,0,388
EK,2183,AKL,2006,SYD,3361,,0,388
EK,2183,ALG,210,DXB,2188,,0,77W
EK,2183,AMD,2994,DXB,2188,,0,332
EK,2183,AMM,2170,DXB,2188,,0,773 77W 772
EK,2183,AMS,580,DXB,2188,,0,388
EK,2183,ARN,737,DXB,2188,,0,77W
EK,2183,ATH,3941,DXB,2188,,0,77W
EK,2183,BAH,2057,DXB,2188,,0,332 772 773
EK,2183,BCN,1218,DXB,2188,,0,388
EK,2183,BEY,2177,DXB,2188,,0,773
EK,2183,BGW,4130,DXB,2188,,0,332
EK,2183,BHX,469,DXB,2188,,0,77W
EK,2183,BKK,3885,DXB,2188,,0,388 77W
EK,2183,BKK,3885,HKG,3077,,0,388
EK,2183,BKK,3885,SYD,3361,,0,77W
EK,2183,BLR,3131,DXB,2188,,0,773
EK,2183,BNE,3320,AKL,2006,,0,388
EK,2183,BNE,3320,BKQ,4217,Y,0,DH4
EK,2183,BNE,3320,DXB,2188,,0,388
EK,2183,BNE,3320,LRE,6289,Y,0,DH4
EK,2183,BNE,3320,ROK,3329,Y,0,DH8 DH4
EK,2183,BNE,3320,SIN,3316,,0,77W
EK,2183,BOM,2997,DXB,2188,,0,77W 772 73H 332 773
EK,2183,BOS,3448,DXB,2188,,0,77L
EK,2183,BSR,2234,DXB,2188,,0,332
EK,2183,CAI,1128,DXB,2188,,0,773 772
EK,2183,CAN,3370,DXB,2188,,0,77W
EK,2183,CCJ,3137,DXB,2188,,0,332 772
EK,2183,CCU,3043,DXB,2188,,0,332
EK,2183,CDG,1382,DXB,2188,,0,77W 388
EK,2183,CGK,3275,DXB,2188,,0,77W
EK,2183,CHC,2009,SYD,3361,,0,77W
EK,2183,CMB,3024,DXB,2188,,0,77W
EK,2183,CMB,3024,MLE,3156,,0,773
EK,2183,CMN,1074,DXB,2188,,0,77W
EK,2183,CNS,3322,GOV,6316,Y,0,717
EK,2183,COK,3136,DXB,2188,,0,772 773 332
EK,2183,CPH,609,DXB,2188,,0,77W
EK,2183,CPT,797,DXB,2188,,0,77W
EK,2183,DAC,3076,DXB,2188,,0,77W
EK,2183,DAR,1177,DXB,2188,,0,773
EK,2183,DEL,3093,DXB,2188,,0,773 772 73H 77W
EK,2183,DFW,3670,DXB,2188,,0,77L
EK,2183,DKR,1084,DXB,2188,,0,343
EK,2183,DME,4029,DXB,2188,,0,388
EK,2183,DMM,2064,DXB,2188,,0,332 773 772
EK,2183,DOH,11051,DXB,2188,,0,772 77W 773 332
EK,2183,DRW,3999,ASP,3319,Y,0,717
EK,2183,DRW,3999,GOV,6316,Y,0,717
EK,2183,DUB,599,DXB,2188,,0,77W
EK,2183,DUR,799,DXB,2188,,0,77W
EK,2183,DUS,345,DXB,2188,,0,77W
EK,2183,DXB,2188,ACC,248,,0,77W
EK,2183,DXB,2188,ADD,1107,,0,332
EK,2183,DXB,2188,ADL,3341,,0,77W
EK,2183,DXB,2188,ALG,210,,0,77W
EK,2183,DXB,2188,AMD,2994,,0,332
EK,2183,DXB,2188,AMM,2170,,0,773 77W 772
EK,2183,DXB,2188,AMS,580,,0,388
EK,2183,DXB,2188,ARN,737,,0,77W
EK,2183,DXB,2188,ATH,3941,,0,77W
EK,2183,DXB,2188,BAH,2057,,0,332 772 773
EK,2183,DXB,2188,BCN,1218,,0,388
EK,2183,DXB,2188,BEY,2177,,0,773
EK,2183,DXB,2188,BGW,4130,,0,332
EK,2183,DXB,2188,BHX,469,,0,77W
EK,2183,DXB,2188,BKK,3885,,0,388 77W
EK,2183,DXB,2188,BLR,3131,,0,773
EK,2183,DXB,2188,BNE,3320,,0,388
EK,2183,DXB,2188,BOM,2997,,0,772 332 77W 73H 773
EK,2183,DXB,2188,BOS,3448,,0,77L
EK,2183,DXB,2188,BSR,2234,,0,332
EK,2183,DXB,2188,CAI,1128,,0,773 772
EK,2183,DXB,2188,CAN,3370,,0,77W
EK,2183,DXB,2188,CCJ,3137,,0,332 772
EK,2183,DXB,2188,CCU,3043,,0,332
EK,2183,DXB,2188,CDG,1382,,0,77W 388
EK,2183,DXB,2188,CGK,3275,,0,77W
EK,2183,DXB,2188,CMB,3024,,0,77W
EK,2183,DXB,2188,CMN,1074,,0,77W
EK,2183,DXB,2188,COK,3136,,0,772 773 332
EK,2183,DXB,2188,CPH,609,,0,77W
EK,2183,DXB,2188,CPT,797,,0,77W
EK,2183,DXB,2188,DAC,3076,,0,77W
EK,2183,DXB,2188,DAR,1177,,0,773
EK,2183,DXB,2188,DEL,3093,,0,772 73H 77W 773
EK,2183,DXB,2188,DFW,3670,,0,77L
EK,2183,DXB,2188,DKR,1084,,0,343
EK,2183,DXB,2188,DME,4029,,0,388
EK,2183,DXB,2188,DMM,2064,,0,332 773 772
EK,2183,DXB,2188,DOH,11051,,0,772 77W 773 332
EK,2183,DXB,2188,DUB,599,,0,77W
EK,2183,DXB,2188,DUR,799,,0,77W
EK,2183,DXB,2188,DUS,345,,0,77W
EK,2183,DXB,2188,EBB,1187,,0,345
EK,2183,DXB,2188,EBL,3989,,0,332
EK,2183,DXB,2188,FCO,1555,,0,388 77W
EK,2183,DXB,2188,FRA,340,,0,77W
EK,2183,DXB,2188,GIG,2560,,0,77W
